time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.65670133191e-07,7.32178634982e-07,9.99802641077,0.000711264120684,0.00021784933474,0.0,-1.46109651623e-05,5.72679955506e-05,-0.0657875661739,0.0286983025979,0.0100504960076,0.0,379.7634413697802,380.72610373063884,379.75777734069203,382.5003236251946
0.12000000000000001,-8.37632020641e-06,2.4458896874e-05,9.9960596108,0.00250744820472,0.00149945466454,0.0,-0.000356617998136,0.000904323434642,0.000229802858247,0.0323036378027,0.0376351675329,0.0,424.90687828335297,427.2651797341603,425.72323238278557,426.0325744122787
0.18,-6.89634161582e-05,0.000138303874734,9.99889468317,0.00511523901773,0.00348247674803,0.0,-0.00187951431334,0.00312663993626,0.0942676378249,0.0595790986009,0.0217931652504,0.0,434.73110892992787,433.40248403594154,434.801511242906,437.0813277781596
0.23999999999999996,-0.000276046245769,0.000470702015946,10.0119572021,0.00830797533387,0.00539770530339,0.0,-0.00522903673648,0.00837768066289,0.341104575779,0.035754141133,0.0469135972597,0.0,480.543969901924,482.44434787743853,481.9493962951393,480.1471390605004
0.3,-0.000726089144023,0.00117392117955,10.0378084792,0.0104037834687,0.00804772606487,0.0,-0.0100836480945,0.0153036791043,0.520535351698,0.0332293683036,0.0380158584763,0.0,461.52867358679157,460.82700814144147,462.0762184026252,461.877643879605
0.36000000000000004,-0.00147738747494,0.00227725767784,10.0685647382,0.0124131024311,0.0109903289416,0.0,-0.0151864899979,0.0216440731146,0.504676606768,0.034002125576,0.0650169325736,0.0,396.5434251714851,399.0173545240884,399.6945449482684,399.76553934475976
0.4200000000000001,-0.00271679157982,0.00393427240666,10.1092116799,0.0143438718128,0.0148185434795,0.0,-0.0266595586294,0.0338621995182,0.850019401984,0.0282601723503,0.0612604367291,0.0,509.43735990644217,509.17112771225527,509.2690314854883,508.85845921584325
0.48000000000000015,-0.00467791600512,0.00630766949612,10.1658708443,0.0157805581546,0.0185945223164,0.0,-0.0391380084991,0.0454309722794,1.03845703563,0.0134994147262,0.0660827811254,0.0,464.4663184912706,464.84699420271136,465.7624859230552,464.60682304748195
0.5400000000000001,-0.00754118502041,0.00945784148844,10.2371169737,0.0170034882669,0.023051023355,0.0,-0.0568560567135,0.0597066210581,1.33610052712,0.0314589292575,0.0870042397706,0.0,496.1167246658822,497.65385384802477,496.1155689598544,497.4322611223995
0.6000000000000002,-0.0115180390158,0.0134483796365,10.323150376,0.0187899870262,0.0277819983115,0.0,-0.0762890823807,0.0735202853655,1.53141893436,0.0261750093525,0.0528093778223,0.0,469.34282187921525,466.68588864376153,468.2312141033758,467.8202308112678
0.6600000000000003,-0.016824221291,0.0183494458153,10.423057549,0.020162601772,0.0305966592296,0.0,-0.100957000617,0.0900286057752,1.79842288773,0.015295001832,0.0312426988987,0.0,489.93819513614255,488.33327592389327,490.0605917812653,489.2512617718809
0.7200000000000003,-0.0236126818192,0.0242307658329,10.5368997935,0.0209688657197,0.0328251220583,0.0,-0.125556471315,0.106109065973,1.99598316848,0.00943734863717,0.0468939994202,0.0,470.4016730717312,471.61256819423966,469.35969823693574,468.9047768281746
0.7800000000000004,-0.0318513477319,0.0310426913285,10.6601350765,0.0216608519522,0.0355815702122,0.0,-0.149349737026,0.121016128582,2.11163931144,0.0154257372016,0.0439634601753,0.0,446.7955482577907,446.55780116456344,444.8401115055582,445.33006687425376
0.8400000000000004,-0.0416169091871,0.0387905226486,10.7914607238,0.0229835494972,0.0381844348521,0.0,-0.17644703199,0.137364259693,2.26557335497,0.0327742274423,0.0421904611766,0.0,457.85173858988475,457.7116524592142,457.8308404704517,459.20901504880743
0.9000000000000005,-0.0531238890775,0.0475876250632,10.9335157753,0.0244538056891,0.040339749723,0.0,-0.207383597852,0.156075623389,2.46915753159,-0.00226439478978,0.0188471782434,0.0,474.523626516497,472.72881995077364,475.022885462571,472.32851005316604
0.9600000000000005,-0.0662266234816,0.0573485682019,11.0802489307,0.0242339414348,0.0415687160367,0.0,-0.229474021598,0.169276720168,2.42204264396,-0.00662287812197,0.0235679416773,0.0,393.92613007002655,394.36245996071546,394.1113610521146,393.70838120946524
1.0200000000000005,-0.0808803271176,0.0680149564088,11.229017588,0.0233224404766,0.0436937748097,0.0,-0.259164778848,0.186206479244,2.53665409279,-0.0439191589479,0.0522551962391,0.0,445.5730477398056,447.91259181660485,449.62231605363405,446.59050608835383
1.0800000000000005,-0.097423446592,0.079698680352,11.3859533145,0.0211271584502,0.0466637464116,0.0,-0.292595640429,0.202977769764,2.69416451106,-0.0249328253116,0.0433257842812,0.0,460.6945385563367,459.98939654621677,461.2041193155071,462.70059151183744
1.1400000000000006,-0.116037856738,0.092343777731,11.5523564751,0.0192625569266,0.0491081935152,0.0,-0.328147403836,0.218335119282,2.8522110072,-0.0476694202285,0.0349937409807,0.0,461.867178703707,461.2103772994335,463.53060965595415,461.74001765996985
1.2000000000000006,-0.136822680633,0.105855823611,11.7278806457,0.0163459627855,0.0524063397879,0.0,-0.364973988479,0.231743622589,2.99820700668,-0.0505598353089,0.0788682398337,0.0,457.52921147566764,461.0106888937176,459.3619816717369,459.1313462575191
1.2600000000000007,-0.159809885977,0.120080597702,11.9104831712,0.0129049288898,0.0576049206971,0.0,-0.401756850677,0.242090063702,3.08827477626,-0.0765562603695,0.0988547870317,0.0,442.5032758889242,444.15159756801785,443.2984398700087,441.1545183661311
